epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
95,98.4898,0.79576,0.92086,1.06535,1.23309,0,0.98848,1,0.995,0.87153,0.98848,1,0.995,0.86507,0.58228,1.2769,1.49722,1.12275,0,0.00100524,0.00100524,0.00100524
96,99.4233,0.75664,1.14623,0.97049,1.18665,0,0.98595,1,0.995,0.84754,0.98595,1,0.995,0.89106,0.68298,1.14659,1.49668,1.14725,0,0.00100653,0.00100653,0.00100653
97,100.673,0.5715,0.73041,0.84415,1.06361,0,0.98595,1,0.995,0.84754,0.98595,1,0.995,0.89106,0.68298,1.14659,1.49668,1.14725,0,0.00100762,0.00100762,0.00100762
98,101.442,0.57362,0.76964,0.86898,1.11232,0,0.98595,1,0.995,0.84754,0.98595,1,0.995,0.89106,0.68298,1.14659,1.49668,1.14725,0,0.00100851,0.00100851,0.00100851
99,102.215,0.72758,1.30692,1.09499,1.21995,0,0.98595,1,0.995,0.84754,0.98595,1,0.995,0.89106,0.68298,1.14659,1.49668,1.14725,0,0.0010092,0.0010092,0.0010092
100,103.025,0.68649,1.17769,1.041,1.09267,0,0.98476,1,0.995,0.84754,0.98476,1,0.995,0.88706,0.67286,1.07242,1.56029,1.19783,0,0.0010097,0.0010097,0.0010097
101,103.781,0.71237,1.32973,0.93125,1.16804,0,0.98476,1,0.995,0.84754,0.98476,1,0.995,0.88706,0.67286,1.07242,1.56029,1.19783,0,0.00101,0.00101,0.00101
102,104.518,0.96582,1.00259,1.0231,1.36734,0,0.98476,1,0.995,0.84754,0.98476,1,0.995,0.88706,0.67286,1.07242,1.56029,1.19783,0,0.0010001,0.0010001,0.0010001
103,105.394,0.61887,0.78662,0.84821,1.12881,0,0.98476,1,0.995,0.84754,0.98476,1,0.995,0.88706,0.67286,1.07242,1.56029,1.19783,0,0.0009902,0.0009902,0.0009902
104,106.449,1.03728,1.58649,1.22081,1.59273,0,0.98371,1,0.995,0.81553,0.98371,1,0.995,0.88706,0.7722,0.82887,1.59931,1.29541,0,0.0009803,0.0009803,0.0009803
105,107.174,0.75184,0.94914,0.88021,1.24117,0,0.98371,1,0.995,0.81553,0.98371,1,0.995,0.88706,0.7722,0.82887,1.59931,1.29541,0,0.0009704,0.0009704,0.0009704
106,107.951,0.72209,1.05888,0.95651,1.21033,0,0.98371,1,0.995,0.81553,0.98371,1,0.995,0.88706,0.7722,0.82887,1.59931,1.29541,0,0.0009605,0.0009605,0.0009605
107,108.77,0.66276,0.94372,1.11188,1.17432,0,0.98371,1,0.995,0.81553,0.98371,1,0.995,0.88706,0.7722,0.82887,1.59931,1.29541,0,0.0009506,0.0009506,0.0009506
